T,P,S,PT,Y,BAI,DBH,H,Hc,SMx,t60,t300,L16,L17
P514,P5,P,NB,1991,5.727374735,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1992,9.837281643,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1993,11.38299235,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1994,11.8415455,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1995,8.6304294,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1996,11.77967811,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1997,9.042245073,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1998,3.831514675,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,1999,6.710677528,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2000,5.844509017,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2001,5.96158675,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2002,7.627058113,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2003,5.292176188,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2004,7.058476967,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2005,3.404986923,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2006,3.22885039,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2007,6.666409345,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2008,6.046262097,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2009,4.856123127,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2010,7.880396145,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2011,10.19708197,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2012,9.316330182,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2013,9.472665258,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2014,5.770980041,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2015,5.406655824,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2016,6.980367549,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2017,5.451693696,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P514,P5,P,NB,2018,7.626266432,31.2,18.2,49.4505494505495,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2011,2.784255339,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2012,1.99486107,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2013,3.172465085,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2014,3.367426041,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2015,2.770994676,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2016,2.881685552,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2017,3.330716531,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P515,P5,P,NB,2018,4.329978615,12.1,8.6,70.9302325581395,0,0,0,2670.4298245614,3460.92105263158
P602,P6,P,SB,1973,0.206726221,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1974,0.173280826,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1975,0.092111497,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1976,0.261254845,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1977,0.52752053,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1978,0.780710907,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
